typeName;StartNumber
Free;0500
Free;0800
Free;0800013
Free;0800015
Free;08000160
Free;08000164
Free;08000165
Free;08000166
Free;0800017
Free;0800018
Free;0800019
Free;08000200
Free;08000202
Free;08000203
Free;08000204
Free;08000207
Free;08000208
Free;0800025
Free;0800026
Free;0800027
Free;0800028
Free;08000290
Free;08000310
Free;08000311
Free;08000316
Free;08000317
Free;08000319
Free;0800032
Free;08000330
Free;08000331
Free;08000332
Free;08000333
Free;08000334
Free;08000336
Free;0800034
Free;0800035
Free;0800036
Free;0800037
Free;0800038
Free;0800039
Free;08000400
Free;08000401
Free;08000403
Free;08000404
Free;08000406
Free;08000407
Free;08000408
Free;08000409
Free;08000410
Free;08000415
Free;0800042
Free;0800043
Free;08000440
Free;08000443
Free;08000444
Free;08000449
Free;0800045
Free;0800046
Free;0800048
Free;0800049
Free;08000500
Free;08000501
Free;08000502
Free;08000505
Free;08000506
Free;08000508
Free;0800051
Free;0800052
Free;0800053
Free;08000550
Free;08000551
Free;08000553
Free;08000554
Free;08000555
Free;08000556
Free;0800056
Free;0800057
Free;0800058
Free;0800059
Free;08000610
Free;08000612
Free;08000613
Free;08000620
Free;08000622
Free;08000626
Free;0800063
Free;0800064
Free;0800065
Free;08000660
Free;08000664
Free;08000665
Free;08000666
Free;08000669
Free;0800067
Free;0800068
Free;08000700
Free;08000706
Free;08000707
Free;08000709
Free;0800071
Free;0800072
Free;0800073
Free;0800074
Free;0800075
Free;0800076
Free;08000770
Free;08000771
Free;08000773
Free;08000776
Free;08000777
Free;08000778
Free;0800079
Free;08000800
Free;08000801
Free;08000808
Free;08000809
Free;0800081
Free;0800082
Free;0800083
Free;0800085
Free;08000860
Free;08000866
Free;08000867
Free;08000874
Free;08000877
Free;08000880
Free;08000887
Free;08000888
Free;0800089
Free;0800091
Free;0800092
Free;0800093
Free;0800094
Free;0800095
Free;0800096
Free;0800097
Free;0800098
Free;08000990
Free;08001020
Free;08001021
Free;08001022
Free;08001023
Free;08001024
Free;08001028
Free;08001030
Free;08001031
Free;08001033
Free;08001036
Free;08001038
Free;08001040
Free;08001041
Free;08001044
Free;08001045
Free;08001048
Free;08001049
Free;08001050
Free;08001051
Free;08001055
Free;08001058
Free;08001060
Free;08001061
Free;08001063
Free;08001064
Free;08001066
Free;08001068
Free;0800107
Free;08001080
Free;08001081
Free;08001082
Free;08001084
Free;08001085
Free;08001087
Free;08001088
Free;08001090
Free;08001091
Free;08001098
Free;08001100
Free;08001101
Free;08001102
Free;08001104
Free;08001106
Free;08001108
Free;08001109
Free;0800111
Free;08001131
Free;08001132
Free;08001133
Free;08001140
Free;08001141
Free;08001142
Free;08001144
Free;08001150
Free;08001151
Free;08001155
Free;08001159
Free;08001162
Free;08001166
Free;08001191
Free;08001195
Free;08001196
Free;08001199
Free;08001281
Free;08001282
Free;08001285
Free;08001288
Free;08001289
Free;08001290
Free;08001291
Free;08001292
Free;08001311
Free;08001312
Free;08001313
Free;08001314
Free;08001315
Free;08001316
Free;08001331
Free;08001332
Free;08001333
Free;08001334
Free;08001335
Free;08001341
Free;08001344
Free;08001347
Free;08001349
Free;0800138
Free;0800139
Free;08001400
Free;08001401
Free;08001402
Free;08001407
Free;08001409
Free;08001411
Free;08001412
Free;08001414
Free;08001415
Free;08001416
Free;08001418
Free;08001419
Free;08001420
Free;08001421
Free;08001427
Free;08001450
Free;08001451
Free;08001452
Free;08001471
Free;08001473
Free;08001476
Free;08001477
Free;08001481
Free;08001482
Free;08001484
Free;08001491
Free;08001501
Free;08001505
Free;08001506
Free;08001507
Free;08001508
Free;08001509
Free;08001511
Free;08001514
Free;08001515
Free;08001516
Free;08001520
Free;08001530
Free;08001535
Free;08001560
Free;08001561
Free;08001562
Free;08001566
Free;08001568
Free;08001569
Free;08001591
Free;08001593
Free;08001598
Free;08001600
Free;08001601
Free;08001607
Free;08001611
Free;08001612
Free;08001613
Free;08001614
Free;08001616
Free;08001617
Free;08001618
Free;08001620
Free;08001621
Free;08001626
Free;0800164
Free;08001651
Free;0800169
Free;08001720
Free;08001721
Free;08001724
Free;08001727
Free;08001729
Free;08001751
Free;08001754
Free;08001758
Free;0800179
Free;08001800
Free;08001801
Free;08001804
Free;0800183
Free;08001841
Free;08001842
Free;08001843
Free;08001846
Free;08001847
Free;08001851
Free;08001880
Free;08001881
Free;08001888
Free;08001894
Free;08001897
Free;08001900
Free;08001901
Free;08001902
Free;08001909
Free;08001910
